
So 27.10.19 00:00:00;9,56
So 27.10.19 00:15:00;8,88
So 27.10.19 00:30:00;8,9
So 27.10.19 00:45:00;8,8
So 27.10.19 01:00:00;11,04
So 27.10.19 01:15:00;12,46
So 27.10.19 01:30:00;10,94
So 27.10.19 01:45:00;10,66
So 27.10.19 02:00:00;9,28
So 27.10.19 02:15:00;7,8
So 27.10.19 02:30:00;8,44
So 27.10.19 02:45:00;7,48
So 27.10.19 02:00:00;7,74
So 27.10.19 02:15:00;7,64
So 27.10.19 02:30:00;7,54
So 27.10.19 02:45:00;7,56
So 27.10.19 03:00:00;6,66
So 27.10.19 03:15:00;6,78
So 27.10.19 03:30:00;6,84
So 27.10.19 03:45:00;6,82
So 27.10.19 04:00:00;6,96
So 27.10.19 04:15:00;8,1
So 27.10.19 04:30:00;7,3
So 27.10.19 04:45:00;7,18
So 27.10.19 05:00:00;7,12
So 27.10.19 05:15:00;7,86
So 27.10.19 05:30:00;7,52
So 27.10.19 05:45:00;9,3
