datetime;value
01.01.19 01:00;8,137260922
01.01.19 02:00;
01.01.19 03:00;
01.01.19 04:00;6,378645852
01.01.19 05:00;5,919927712
01.01.19 06:00;5,643054359
01.01.19 07:00;5,565623675
01.01.19 08:00;5,538640255
01.01.19 09:00;5,697021199
01.01.19 10:00;
01.01.19 11:00;6,285963671
01.01.19 12:00;6,694234547
01.01.19 13:00;6,864347412
01.01.19 14:00;6,91714106
01.01.19 15:00;
01.01.19 16:00;
01.01.19 17:00;
01.01.19 18:00;2,861415713
01.01.19 19:00;2,558732132
01.01.19 20:00;2,717113076
01.01.19 21:00;2,835605486
01.01.19 22:00;3,254435092
